SAMPLE_DATA_TYPE,pAC50,smiles
flor 40 hr,7.178660554,CC(C)Sc1ccc(cc1)C(O)C(C)NCCCCCCCC
glo 40 hr,7.128660554,CC(C)Sc1ccc(cc1)C(O)C(C)NCCCCCCCC
flor 40 hr,7.378660554,Cl.Cl.C[C@H]4CN(CCCn3c1ccccc1c2ccccc23)C[C@@H](C)N4
glo 40 hr,7.378660554,Cl.Cl.C[C@H]4CN(CCCn3c1ccccc1c2ccccc23)C[C@@H](C)N4
flor 40 hr,7.067424559,OC[C@@H](O)[C@@H](O)[C@@H](O)CN2C3=NC(=O)NC(=O)C3=Nc1cc(C)c(C)cc12
flor 40 hr,6.828660554,Fc1ccc(cc1)C(CCCN2CCC4(CC2)C(=O)NCN4c3ccccc3)c5ccc(F)cc5
glo 40 hr,6.828660554,Fc1ccc(cc1)C(CCCN2CCC4(CC2)C(=O)NCN4c3ccccc3)c5ccc(F)cc5
flor 40 hr,7.178660554,FC(F)(F)c2ccc(OC(CCNC)c1ccccc1)cc2
flor 40 hr,6.678660554,Cl.Cl.OCCNCCNc3ccc(NCCNCCO)c2C(=O)c1c(O)ccc(O)c1C(=O)c23
flor 40 hr,6.778660554,Cl.Cl.O.O.CCN(CC)CCCC(C)Nc1c3cc(OC)ccc3nc2cc(Cl)ccc12
glo 40 hr,6.728660554,Cl.Cl.O.O.CCN(CC)CCCC(C)Nc1c3cc(OC)ccc3nc2cc(Cl)ccc12
flor 40 hr,5.528660554,O=C(OC)Nc1nc2cc(ccc2n1)CCCC
flor 40 hr,7.328660554,CN3CCC[C@@H]3CCO[C@](C)(c1ccccc1)c2ccc(Cl)cc2.O=C(O)/C=C/C(=O)O
glo 40 hr,7.378660554,CN3CCC[C@@H]3CCO[C@](C)(c1ccccc1)c2ccc(Cl)cc2.O=C(O)/C=C/C(=O)O
flor 40 hr,7.378660554,O=C1NC(=O)C(N1)(c2ccccc2)c3ccccc3
flor 40 hr,7.028660554,O=C2OC(=O)[C@]3(C)C1CCC(O1)[C@]23C
glo 40 hr,6.228660554,O=C2OC(=O)[C@]3(C)C1CCC(O1)[C@]23C
flor 40 hr,7.378660554,Oc3ccc4ncc(CCCCN1CC=C(CC1)c2ccccc2)c4c3
flor 40 hr,7.278660554,CCC(CCCC)CN1CC(C)(N)CN(CC(CCCC)CC)C1
glo 40 hr,7.328660554,CCC(CCCC)CN1CC(C)(N)CN(CC(CCCC)CC)C1
flor 40 hr,6.928660554,Oc1c(Cl)cc(Cl)c2cccnc12
glo 40 hr,7.378660554,FC(F)(F)c2ccc(OC(CCNC)c1ccccc1)cc2
flor 40 hr,7.428660554,FC(F)(F)c2cc3N(CCCN1CCN(CCO)CC1)c4ccccc4Sc3cc2
glo 40 hr,6.878660554,Cl.Cl.OCCNCCNc3ccc(NCCNCCO)c2C(=O)c1c(O)ccc(O)c1C(=O)c23
flor 40 hr,7.378660554,Clc2ccc(NC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)cc2
glo 40 hr,7.378660554,Clc2ccc(NC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)cc2
flor 40 hr,7.428660554,CC(C)c4c3cc(C)c(c1c(C)cc2c(c1O)c(C=O)c(O)c(O)c2C(C)C)c(O)c3c(C=O)c(O)c4O
glo 40 hr,7.428660554,CC(C)c4c3cc(C)c(c1c(C)cc2c(c1O)c(C=O)c(O)c(O)c2C(C)C)c(O)c3c(C=O)c(O)c4O
flor 40 hr,7.378660554,Cl.CC(C)NC(=O)c1ccc(CNNC)cc1
flor 40 hr,7.017424559,O=C(N1CCN(CC1)c3nc2cc(OC)c(OC)cc2c(N)n3)c4ccco4
flor 40 hr,7.278660554,O=C(O)CCC(=O)O.CN1CCN(CC1)C3=Nc4ccccc4Oc2ccc(Cl)cc23
flor 40 hr,7.228660554,COc4cc5CCN[C@H](C[C@H]1C[C@H]2c3cc(OC)c(OC)cc3CCN2C[C@@H]1CC)c5cc4OC
glo 40 hr,6.528660554,COc4cc5CCN[C@H](C[C@H]1C[C@H]2c3cc(OC)c(OC)cc3CCN2C[C@@H]1CC)c5cc4OC
glo 40 hr,7.028660554,O=C(OC)C3=C(C)NC(C)=C(C(=O)OC(C)C)C3c1cccc2nonc12
flor 40 hr,7.378660554,OC(CN1CCC(CC1)Cc2ccc(F)cc2)c3ccc(Cl)cc3
flor 40 hr,7.028660554,Cl.O.Nc1c3ccccc3nc2ccccc12
glo 40 hr,7.128660554,Cl.O.Nc1c3ccccc3nc2ccccc12
